"","symbol_EV","partID","trial.symbol","resp.cor","sym_cor","sym_incor","outcome_cor","outcome_incor","position_cor","position_incor"
"1",-22.5,"5f498e1c995b8b3ec9aa1d62",1,0,1,2,0,-90,0,1
"2",-22.5,"5f498e1c995b8b3ec9aa1d62",2,1,6,1,0,0,0,1
"3",-22.5,"5f498e1c995b8b3ec9aa1d62",3,1,3,1,90,-90,1,0
"4",-22.5,"5f498e1c995b8b3ec9aa1d62",4,1,4,1,90,0,0,1
"5",-22.5,"5f498e1c995b8b3ec9aa1d62",5,1,0,1,0,0,1,0
"6",-22.5,"5f498e1c995b8b3ec9aa1d62",6,1,5,1,-10,-90,1,0
"7",-22.5,"5f498e1c995b8b3ec9aa1d62",7,1,7,1,10,0,0,1
"8",-22.5,"5f498e1c995b8b3ec9aa1d62",8,1,6,1,0,0,0,1
"9",-22.5,"5f498e1c995b8b3ec9aa1d62",9,1,4,1,90,0,1,0
"10",-22.5,"5f498e1c995b8b3ec9aa1d62",10,1,5,1,-10,-90,0,1
"11",-22.5,"5f498e1c995b8b3ec9aa1d62",11,1,7,1,10,-90,0,1
"12",-22.5,"5f498e1c995b8b3ec9aa1d62",12,0,1,2,0,0,0,1
"13",-22.5,"5f498e1c995b8b3ec9aa1d62",13,1,0,1,10,0,1,0
"14",-22.5,"5f498e1c995b8b3ec9aa1d62",14,1,3,1,0,0,1,0
"15",-22.5,"5f498e1c995b8b3ec9aa1d62",15,1,0,1,0,-90,0,1
"16",-22.5,"5f498e1c995b8b3ec9aa1d62",16,1,4,1,90,0,0,1
"17",-22.5,"5f498e1c995b8b3ec9aa1d62",17,1,5,1,-10,0,0,1
"18",-22.5,"5f498e1c995b8b3ec9aa1d62",18,1,7,1,10,0,0,1
"19",-22.5,"5f498e1c995b8b3ec9aa1d62",19,1,6,1,0,0,1,0
"20",-22.5,"5f498e1c995b8b3ec9aa1d62",20,0,1,2,0,-90,1,0
"21",-22.5,"5f498e1c995b8b3ec9aa1d62",21,1,3,1,90,-90,0,1
"22",-22.5,"5f498e1c995b8b3ec9aa1d62",22,1,0,1,0,0,1,0
"23",-22.5,"5f498e1c995b8b3ec9aa1d62",23,1,1,2,0,-90,1,0
"24",-22.5,"5f498e1c995b8b3ec9aa1d62",24,1,7,1,0,-90,1,0
"25",-22.5,"5f498e1c995b8b3ec9aa1d62",25,1,4,1,90,0,1,0
"26",-22.5,"5f498e1c995b8b3ec9aa1d62",26,1,3,1,0,0,1,0
"27",-22.5,"5f498e1c995b8b3ec9aa1d62",27,1,5,1,0,-90,1,0
"28",-22.5,"5f498e1c995b8b3ec9aa1d62",28,1,6,1,0,-90,1,0
